report_date,impressions,reach,clicks,spend,conversions_7d_click,conversion_value,purchases
2026-03-18,920,830,18,71000,1,104000,1
2026-03-19,0,0,0,0,0,0,0
2026-03-20,1140,1030,23,77000,2,162000,2
2026-03-21,980,880,20,74000,1,114000,1
2026-03-22,720,650,14,61000,1,92000,1
2026-03-23,680,610,13,58000,0,0,0
2026-03-24,1060,950,21,75000,2,168000,2
2026-03-25,1180,1060,24,79000,2,182000,2
2026-03-26,1280,1150,26,81000,2,192000,2
2026-03-27,1240,1120,25,79000,3,242000,3
2026-03-28,960,860,19,72000,1,114000,1
2026-03-29,740,660,15,63000,1,96000,1
2026-03-30,700,630,14,60000,0,0,0
2026-03-31,1080,970,22,76000,2,172000,2
2026-04-01,1200,1080,24,79000,2,186000,2
2026-04-02,1320,1190,27,82000,2,198000,2
2026-04-03,1420,1280,29,85000,3,238000,3
2026-04-04,1020,920,21,75000,1,118000,1
2026-04-05,780,700,16,65000,1,98000,1
2026-04-06,740,660,15,61000,0,0,0
2026-04-07,1140,1030,23,77000,2,172000,2
2026-04-08,1260,1130,26,81000,2,186000,2
2026-04-09,1340,1210,27,83000,2,194000,2
2026-04-10,1460,1310,30,87000,3,248000,3
2026-04-11,1080,970,22,76000,2,162000,2
2026-04-12,820,740,17,66000,1,104000,1
2026-04-13,760,680,15,62000,1,90000,1
2026-04-14,1160,1040,24,79000,2,176000,2
2026-04-15,1280,1150,26,82000,2,192000,2
2026-04-16,1380,1240,28,85000,3,232000,3
2026-04-17,1520,1370,31,89000,3,252000,3
2026-04-18,1140,1030,23,77000,2,172000,2
