report_date,impressions,reach,clicks,spend,conversions_7d_click,conversion_value,purchases
2026-03-18,1820,1640,58,62000,3,198000,3
2026-03-19,2140,1920,71,65000,4,248000,4
2026-03-20,2380,2100,79,68000,5,312000,5
2026-03-21,1960,1780,64,63000,3,186000,3
2026-03-22,1540,1390,48,58000,2,124000,2
2026-03-23,1420,1280,44,55000,2,118000,2
2026-03-24,2210,1990,74,66000,4,264000,4
2026-03-25,2490,2240,83,70000,5,340000,5
2026-03-26,2650,2380,89,72000,6,378000,6
2026-03-27,2870,2580,96,74000,6,408000,6
2026-03-28,2120,1900,70,64000,4,256000,4
2026-03-29,1680,1510,53,59000,3,174000,3
2026-03-30,1590,1430,50,57000,2,132000,2
2026-03-31,2320,2090,77,67000,4,288000,4
2026-04-01,2540,2290,85,71000,5,350000,5
2026-04-02,2780,2500,93,73000,6,396000,6
2026-04-03,2980,2680,99,75000,7,448000,7
2026-04-04,2160,1940,72,65000,4,272000,4
2026-04-05,1720,1550,55,60000,3,186000,3
2026-04-06,1640,1480,52,58000,2,148000,2
2026-04-07,2410,2170,80,69000,5,320000,5
2026-04-08,2680,2410,89,72000,5,360000,5
2026-04-09,2840,2560,95,74000,6,402000,6
2026-04-10,3020,2720,101,76000,7,462000,7
2026-04-11,2240,2020,75,66000,4,284000,4
2026-04-12,1780,1600,57,61000,3,192000,3
2026-04-13,1690,1520,54,59000,2,156000,2
2026-04-14,2480,2230,83,70000,5,340000,5
2026-04-15,2720,2450,91,73000,6,384000,6
2026-04-16,2910,2620,97,75000,6,420000,6
2026-04-17,3140,2830,105,77000,7,476000,7
2026-04-18,2380,2140,79,68000,5,312000,5
